state,drinking_age,craft_breweries,rank
Alabama,3495392,13,49
Alaska,513228,22,7
Arizona,4663900,47,31
Arkansas,2119568,13,40
California,27136252,381,19
Colorado,3743962,175,4
Connecticut,2637510,23,35
Delaware,671947,10,18
District of Columbia,488490,9,13
Florida,14587186,66,46
Georgia,6994011,28,47
Hawaii,1037311,8,38
Idaho,1102202,34,9
Illinois,9268030,83,34
Indiana,4652578,63,20
Iowa,2209302,40,15
Kansas,2031369,20,32
Kentucky,3186609,15,45
Louisiana,3293112,11,50
Maine,1010315,47,5
Maryland,4298739,34,37
Massachusetts,4932640,57,24
Michigan,7184978,131,14
Minnesota,3878373,52,21
Mississippi,2105729,4,51
Missouri,4362875,49,27
Montana,740965,39,3
Nebraska,1308461,22,17
Nevada,1995542,22,28
New Hampshire,986074,22,10
New Jersey,6496123,26,48
New Mexico,1483933,31,12
New York,14475962,165,26
North Carolina,7048067,91,22
North Dakota,509226,6,23
Ohio,8396361,76,33
Oklahoma,2713986,13,44
Oregon,2887855,181,1
Pennsylvania,9463602,108,25
Rhode Island,778808,8,29
South Carolina,3439725,20,41
South Dakota,591547,10,16
Tennessee,4704160,35,39
Texas,17934667,96,42
Utah,1836271,16,36
Vermont,468943,29,2
Virginia,5981454,61,30
Washington,5041656,201,8
West Virginia,1399038,7,43
Wisconsin,4160398,90,11
Wyoming,417034,18,6
